"team","round","opponent","win"
"SPASH GM","Round 4","Homewood-Flossmoor HL",0
"St Paul GS","Round 4","Westminster CK",0
"Wayzata MS","Round 4","Bloomington MW",1
"Wayzata SH","Round 4","Glenbrook North CR",0
"WDMV HH","Round 4","Denver Independent RW",0
"Westminster CB","Round 4","Encinitas WW",1
"Whitney Young FS","Round 4","New Trier BK",0
"Whitney Young SO","Round 4","Eagan RW",1
"Berkeley Prep KY","Round 4","Glenbrook South SS",0
"Berkeley Prep SS","Round 4","Rufus King GR",1
"Brooklyn Independent EW","Round 4","Whitney Young RJ",0
"Eagan RW","Round 4","Whitney Young SO",0
"Georgetown Day BS","Round 4","Rosemount KS",0
"Glenbrook South PV","Round 4","New Trier SH",0
"Greenhill GR","Round 4","Asian Debate League TS",1
"Groves GS","Round 4","Westminster ZB",0
"Iowa City KK","Round 4","Whitney Young BF",0
"Iowa City West JW","Round 4","Glenbrook North BL",0
"Kent Denver KK","Round 4","Asian Debate League CH",1
"Lexington XW","Round 4","Bloomington AB",1
"Meadows BN","Round 4","Niles West TG",0
"Niles West TG","Round 4","Meadows BN",1
"Northside CP SJ","Round 4","Aberdeen Central RJ",1
"Northside CP VK","Round 4","Aberdeen Central PF",1
"Roosevelt OP","Round 4","Lexington DC",0
"Rosemount KS","Round 4","Georgetown Day BS",1
"Rufus King GR","Round 4","Berkeley Prep SS",0
"Walter Payton MS","Round 4","Marist AV",0
"Washburn DE","Round 4","Glenbrook South RF",1
"Washburn HK","Round 4","Iowa City West TR",0
"Wayzata AC","Round 4","Rosemount SF",1
"Wayzata AJ","Round 4","Edina KE",1
"Wayzata DD","Round 4","Denver Arts School IH",0
"Wayzata KS","Round 4","Peninsula JK",0
"WDMV DS","Round 4","Wayzata BH",1
"Westminster ZB","Round 4","Groves GS",1
"Aberdeen Central PF","Round 4","Northside CP VK",0
"Aberdeen Central RJ","Round 4","Northside CP SJ",0
"Asian Debate League CC","Round 4","Holy Cross SS",0
"Asian Debate League CH","Round 4","Kent Denver KK",0
"Asian Debate League TS","Round 4","Greenhill GR",0
"Clovis North SM","Round 4","Northside CP BE",0
"Eagan SS","Round 4","Groves GM",1
"Edina KE","Round 4","Wayzata AJ",0
"Holy Cross SS","Round 4","Asian Debate League CC",1
"Kent Denver HM","Round 4","Highland Park BD",0
"Minneapolis South FN","Round 4","Lexington ML",0
"Niles West BS","Round 4","Wayzata So",1
"Niles West CB","Round 4","Rowland Hall GL",0
"Northside CP KS","Round 4","Walter Payton PY",1
"Walter Payton PY","Round 4","Northside CP KS",0
"Wayzata BH","Round 4","WDMV DS",0
"Wayzata So","Round 4","Niles West BS",0
"Wayzata WG","Round 4","Glenbrook North FT",0
"Appleton East MR","Round 4","Niles West NR",0
"Eagan GP","Round 4","Highland Park MT",0
"Eagan LQ","Round 4","Rosemount BS",1
"Glenbrook South RF","Round 4","Washburn DE",0
"Groves GM","Round 4","Eagan SS",0
"Highland Park MT","Round 4","Eagan GP",1
"Rosemount SF","Round 4","Wayzata AC",0
"Roseville Area CH","Round 4","Rowland Hall BL",0
"Bloomington AB","Round 4","Lexington XW",0
"Rosemount BS","Round 4","Eagan LQ",0
"Little Rock Central WW","Round 5","Edgemont JM",1
"Walter Payton BC","Round 5","Clovis North HP",1
"Clovis North HP","Round 5","Walter Payton BC",0
"East Kentwood BO","Round 5","New Trier SH",1
"Edgemont JM","Round 5","Little Rock Central WW",0
"Highland Park BD","Round 5","Denver Independent RW",1
"Homewood-Flossmoor HL","Round 5","Iowa City WZ",0
"Peninsula TW","Round 5","Glenbrook South RS",1
"Rowland Hall GL","Round 5","Marist AV",1
"Westminster CK","Round 5","New Trier BK",1
"Centennial LP","Round 5","Wayzata MS",1
"Denver Arts School IH","Round 5","Westminster CB",1
"Denver Independent RW","Round 5","Highland Park BD",0
"Glenbrook North BL","Round 5","SPASH GM",1
"Glenbrook North CR","Round 5","Greenhill WM",0
"Glenbrook South CA","Round 5","Whitney Young FS",1
"Glenbrook South RS","Round 5","Peninsula TW",0
"Glenbrook South SS","Round 5","Whitney Young RJ",1
"Iowa City West TR","Round 5","Niles West SP",1
"Iowa City WZ","Round 5","Homewood-Flossmoor HL",1
"Lexington DC","Round 5","Rowland Hall MB",1
"Lexington RZ","Round 5","Wayzata AJ",1
"McDonogh NJ","Round 5","WDMV HH",1
"New Trier BK","Round 5","Westminster CK",0
"Niles West GG","Round 5","Glenbrook South BK",1
"Peninsula JK","Round 5","Whitney Young BF",1
"Traverse City Central CF","Round 5","St Paul GS",1
"Westminster DH","Round 5","Kent Denver HM",1
