"team","round","opponent","win"
"Meadows BN","Round 3","Isidore Newman AZ",1
"Niles West TP","Round 3","St. Andrew's DZ",1
"Pace MA","Round 3","GBN CR",0
"Paideia RH","Round 3","Hawken CL",1
"Paideia UL","Round 3","Pine Crest PR",0
"Pine Crest PR","Round 3","Paideia UL",0
"Stuyvesant DS","Round 3","Holy Cross SD",1
"USN BW","Round 3","Caddo Magnet CM",0
"Westminster GD","Round 3","Chattahoochee AM",1
"Cathedral Prep HK","Round 3","Northview JK",0
"Chattahoochee JN","Round 3","Houston Memorial SM",0
"Fayetteville MS","Round 3","Cathedral Prep LS",0
"Isidore Newman AZ","Round 3","Meadows BN",0
"Jesuit Prep LV","Round 3","Lake Oswego AT",1
"Lake Oswego AT","Round 3","Ransom Everglades FS",0
"Mount Vernon MM","Round 3","Georgetown Day BQ",0
"Mountain Brook WS","Round 3","Westminster DH",0
"Northview JK","Round 3","Cathedral Prep HK",1
"Ransom Everglades FS","Round 3","La Costa Canyon YM",0
"St. Andrew's DZ","Round 3","Niles West TP",0
"Unionville YD","Round 3","Grapevine PS",0
"Chattahoochee AM","Round 3","Westminster GD",0
"Edgemont JM","Round 4","BCC YE",1
"GBN JT","Round 4","Rowland Hall BB",1
"Niles West GG","Round 4","Notre Dame CP",1
"Blake SW","Round 4","GBN LM",1
"Centennial LP","Round 4","Blake NW",1
"College Prep JM","Round 4","Westminster CB",1
"GBS AC","Round 4","Alpharetta KK",0
"Iowa City WZ","Round 4","MBA KR",1
"Law Magnet GJ","Round 4","Katy Taylor BI",0
"Lexington SM","Round 4","GBN CR",0
"Pace FM","Round 4","Brophy SS",1
"Peninsula TW","Round 4","St. Mark's KP",0
"Rowland Hall LG","Round 4","SVDP MH",0
"St. Mark's KP","Round 4","Peninsula TW",1
"Westminster DH","Round 4","Loyola GT",1
"Alpharetta KK","Round 4","GBS AC",1
"Alpharetta WC","Round 4","New Trier BK",1
"BCC ID","Round 4","New Trier HS",1
"BCC YE","Round 4","Edgemont JM",0
"Blake NW","Round 4","Centennial LP",0
"Carrollton PC","Round 4","New Trier BW",1
"GBN CR","Round 4","Lexington SM",1
"GBN LM","Round 4","Blake SW",0
"GBS RS","Round 4","McDonogh JN",1
"Head Royce PC","Round 4","Highland Park (MN) BD",1
"Highland Park (MN) BD","Round 4","Head Royce PC",0
"HoFlo HL","Round 4","WDMV HH",1
"ICW TR","Round 4","Northview JK",1
"La Costa Canyon YM","Round 4","Milton HH",1
"Law Magnet GT","Round 4","Woodward BP",0
"Lexington CD","Round 4","Greenhill WM",1
"Little Rock Central WW","Round 4","University BM",0
"MBA KR","Round 4","Iowa City WZ",0
"McDonogh JN","Round 4","GBS RS",0
"Notre Dame CP","Round 4","Niles West GG",0
"Pine Crest JV","Round 4","Cathedral Prep LS",1
"St. Mark's WG","Round 4","Maine East PS",1
"SVDP MH","Round 4","Rowland Hall LG",1
"University BM","Round 4","Little Rock Central WW",1
"Walter Payton BC","Round 4","Stuyvesant DS",1
"Westminster CK","Round 4","Houston Memorial SM",1
"Woodward BP","Round 4","Law Magnet GT",1
"Bishop Guertin KV","Round 4","Jesuit Prep LV",1
"Brophy SS","Round 4","Pace FM",0
"Caddo Magnet CM","Round 4","Katy Taylor AL",1
"Calhoun KS","Round 4","Greenhill KS",1
"Carrollton BG","Round 4","Westminster GD",1
"GBS SS","Round 4","Grapevine BW",1
"Georgetown Day BQ","Round 4","Head Royce DF",0
"Greenhill KS","Round 4","Calhoun KS",0
"Greenhill WM","Round 4","Lexington CD",0
"Head Royce DF","Round 4","Georgetown Day BQ",1
"Johns Creek RL","Round 4","Grapevine PS",1
"Katy Taylor BI","Round 4","Law Magnet GJ",1
"Leland VV","Round 4","Ft. Lauderdale CW",1
"Lexington ML","Round 4","Woodward AH",0
"Loyola GT","Round 4","Westminster DH",0
"Maine East PS","Round 4","St. Mark's WG",0
"MBA CJ","Round 4","Ransom Everglades FS",1
"MBA GJ","Round 4","Pine Crest PR",1
"Milton FM","Round 4","Niles West TP",1
"Milton HH","Round 4","La Costa Canyon YM",0
"New Trier BK","Round 4","Alpharetta WC",0
"New Trier BW","Round 4","Carrollton PC",0
"New Trier HS","Round 4","BCC ID",0
"Niles North BB","Round 4","Mountain Brook WS",1
"Peninsula JK","Round 4","Marist AV",1
"Ransom Everglades BC","Round 4","Meadows BN",1
"Rowland Hall BB","Round 4","GBN JT",0
"WDMV HH","Round 4","HoFlo HL",0
"Westminster CB","Round 4","College Prep JM",0
"Woodward AH","Round 4","Lexington ML",1
"Woodward AS","Round 4","Calhoun BF",1
"Alpharetta KV","Round 4","Lake Oswego AT",1
"Bronx Science GM","Round 4","Paideia UL",0
"Calhoun BF","Round 4","Woodward AS",0
"Carrollton GP","Round 4","ICW TK",0
"Cathedral Prep LS","Round 4","Pine Crest JV",0
"College Prep KX","Round 4","Mount Vernon MM",1
"Ft. Lauderdale CW","Round 4","Leland VV",0
"Grapevine BW","Round 4","GBS SS",0
"Grapevine PS","Round 4","Johns Creek RL",0
"Hawken CL","Round 4","Chattahoochee JN",1
"Hawken YZ","Round 4","Isidore Newman AZ",1
"Henry W. Grady CW","Round 4","Johns Creek TV",0
"Highland Park (TX) CP","Round 4","Pace MA",1
"Holy Cross SD","Round 4","Fayetteville MS",1
"Houston Memorial MS","Round 4","Westminster CK",0
"ICW TK","Round 4","Carrollton GP",1
"Jesuit Prep HL","Round 4","Paideia RH",1
"Johns Creek TV","Round 4","Henry W. Grady CW",1
"Katy Taylor AL","Round 4","Caddo Magnet CM",0
"Marist AV","Round 4","Peninsula JK",0
"Meadows BN","Round 4","Ransom Everglades BC",0
"Niles West TP","Round 4","Milton FM",0
"Pace MA","Round 4","Highland Park (TX) CP",0
"Paideia RH","Round 4","Jesuit Prep HL",0
"Paideia UL","Round 4","Bronx Science GM",1
"Pine Crest PR","Round 4","MBA GJ",0
"Stuyvesant DS","Round 4","Walter Payton BC",0
"USN BW","Round 4","St. Andrew's DZ",1
"Westminster GD","Round 4","Carrollton BG",0
"Cathedral Prep HK","Round 4","BYE",1
"Chattahoochee JN","Round 4","Hawken CL",0
"Fayetteville MS","Round 4","Holy Cross SD",0
"Isidore Newman AZ","Round 4","Hawken YZ",0
"Jesuit Prep LV","Round 4","Bishop Guertin KV",0
"Lake Oswego AT","Round 4","Alpharetta KV",0
"Mount Vernon MM","Round 4","College Prep KX",0
"Mountain Brook WS","Round 4","Niles North BB",0
"Northview JK","Round 4","ICW TR",0
"Ransom Everglades FS","Round 4","MBA CJ",0
"St. Andrew's DZ","Round 4","USN BW",0
"Unionville YD","Round 4","Chattahoochee AM",1
"Chattahoochee AM","Round 4","Unionville YD",0
"Edgemont JM","Round 5","Alpharetta KK",1
"GBN JT","Round 5","College Prep JM",1
"Niles West GG","Round 5","Blake SW",1
"Blake SW","Round 5","Niles West GG",0
"Centennial LP","Round 5","GBS RS",1
"College Prep JM","Round 5","GBN JT",0
"GBS AC","Round 5","Lexington CD",1
"Iowa City WZ","Round 5","St. Mark's WG",1
"Law Magnet GJ","Round 5","Head Royce DF",1
"Lexington SM","Round 5","Leland VV",1
"Pace FM","Round 5","ICW TR",1
"Peninsula TW","Round 5","Calhoun KS",1
"Rowland Hall LG","Round 5","Carrollton PC",1
"St. Mark's KP","Round 5","GBN CR",1
"Westminster DH","Round 5","Katy Taylor BI",1
"Alpharetta KK","Round 5","Edgemont JM",0
"Alpharetta WC","Round 5","Blake NW",0
"BCC ID","Round 5","Walter Payton BC",0
"BCC YE","Round 5","La Costa Canyon YM",1
"Blake NW","Round 5","Alpharetta WC",1
"Carrollton PC","Round 5","Rowland Hall LG",0
"GBN CR","Round 5","St. Mark's KP",0
"GBN LM","Round 5","Bishop Guertin KV",1
"GBS RS","Round 5","Centennial LP",0
"Head Royce PC","Round 5","SVDP MH",0
"Highland Park (MN) BD","Round 5","Cathedral Prep HK",1
"HoFlo HL","Round 5","Woodward AH",1
"ICW TR","Round 5","Pace FM",0
"La Costa Canyon YM","Round 5","BCC YE",0
"Law Magnet GT","Round 5","Loyola GT",1
"Lexington CD","Round 5","GBS AC",0
"Little Rock Central WW","Round 5","Johns Creek RL",1
"MBA KR","Round 5","Niles North BB",1
"McDonogh JN","Round 5","Highland Park (TX) CP",1
"Notre Dame CP","Round 5","University BM",0
"Pine Crest JV","Round 5","New Trier HS",1
"St. Mark's WG","Round 5","Iowa City WZ",0
"SVDP MH","Round 5","Head Royce PC",1
"University BM","Round 5","Notre Dame CP",1
"Walter Payton BC","Round 5","BCC ID",1
"Westminster CK","Round 5","Woodward BP",1
"Woodward BP","Round 5","Westminster CK",0
"Bishop Guertin KV","Round 5","GBN LM",0
"Brophy SS","Round 5","MBA GJ",0
"Caddo Magnet CM","Round 5","New Trier BK",0
"Calhoun KS","Round 5","Peninsula TW",0
"Carrollton BG","Round 5","MBA CJ",0
"GBS SS","Round 5","New Trier BW",1
"Georgetown Day BQ","Round 5","Carrollton GP",1
"Greenhill KS","Round 5","Peninsula JK",1
"Greenhill WM","Round 5","Jesuit Prep HL",1
"Head Royce DF","Round 5","Law Magnet GJ",0
"Johns Creek RL","Round 5","Little Rock Central WW",0
"Katy Taylor BI","Round 5","Westminster DH",0
"Leland VV","Round 5","Lexington SM",0
"Lexington ML","Round 5","College Prep KX",1
"Loyola GT","Round 5","Law Magnet GT",0
"Maine East PS","Round 5","ICW TK",1
"MBA CJ","Round 5","Carrollton BG",1
"MBA GJ","Round 5","Brophy SS",1
"Milton FM","Round 5","Rowland Hall BB",1
"Milton HH","Round 5","Woodward AS",0
"New Trier BK","Round 5","Caddo Magnet CM",1
"New Trier BW","Round 5","GBS SS",0
"New Trier HS","Round 5","Pine Crest JV",0
"Niles North BB","Round 5","MBA KR",0
"Peninsula JK","Round 5","Greenhill KS",0
"Ransom Everglades BC","Round 5","WDMV HH",0
"Rowland Hall BB","Round 5","Milton FM",0
"WDMV HH","Round 5","Ransom Everglades BC",1
"Westminster CB","Round 5","Johns Creek TV",1
"Woodward AH","Round 5","HoFlo HL",0
"Woodward AS","Round 5","Milton HH",1
"Alpharetta KV","Round 5","Stuyvesant DS",0
"Bronx Science GM","Round 5","Jesuit Prep LV",1
"Calhoun BF","Round 5","Unionville YD",1
"Carrollton GP","Round 5","Georgetown Day BQ",0
"Cathedral Prep LS","Round 5","Meadows BN",0
"College Prep KX","Round 5","Lexington ML",0
"Ft. Lauderdale CW","Round 5","Houston Memorial SM",0
"Grapevine BW","Round 5","Holy Cross SD",1
"Grapevine PS","Round 5","Mountain Brook WS",1
"Hawken CL","Round 5","Marist AV",1
"Hawken YZ","Round 5","Pace MA",0
"Henry W. Grady CW","Round 5","Ransom Everglades FS",1
"Highland Park (TX) CP","Round 5","McDonogh JN",0
"Holy Cross SD","Round 5","Grapevine BW",0
"Houston Memorial MS","Round 5","Ft. Lauderdale CW",1
"ICW TK","Round 5","Maine East PS",0
"Jesuit Prep HL","Round 5","Greenhill WM",0
"Johns Creek TV","Round 5","Westminster CB",0
"Katy Taylor AL","Round 5","University BW",0
"Marist AV","Round 5","Hawken CL",0
"Meadows BN","Round 5","Cathedral Prep LS",1
"Niles West TP","Round 5","Pine Crest PR",0
