"team","round","opponent","win"
"College Prep HW","Round 6","Polytechnic HM",0
"College Prep MD","Round 6","Green Valley SA",0
"Copper Hills BT","Round 6","Chandler Prep FG",0
"Copper Hills LW","Round 6","Hamilton JK",1
"Kent Denver KK","Round 6","Juan Diego MP",1
"Kent Denver MC","Round 6","Green Valley SS",1
"La Cueva GH","Round 6","Hamilton VK",0
"Lowell CL","Round 6","Los Alamos RW",0
"McClintock GW","Round 6","Coronado HS",0
"Robert McQueen RR","Round 6","Hamilton SI",1
"Salpointe Catholic MT","Round 6","College Prep CG",0
"Bishop O'Dowd HJ","Round 6","Chandler AN",0
"Chandler AN","Round 6","Bishop O'Dowd HJ",1
"College Prep NL","Round 6","Albuquerque AS",0
"College Prep ZS","Round 6","Sky View LM",0
"Copper Hills MN","Round 6","Palo Verde QS",0
"Cupertino AT","Round 6","Hamilton JR",1
"Desert Vista AG","Round 6","Hamilton FZ",0
"Green Valley SS","Round 6","Kent Denver MC",0
"Hamilton SI","Round 6","Robert McQueen RR",0
"La Cueva EJ","Round 6","West LP",0
"Layton NL","Round 6","Desert Vista LQ",0
"Los Alamos WZ","Round 6","Bingham SS",0
"Loyola CC","Round 6","Palo Verde SW",0
"Palo Verde QS","Round 6","Copper Hills MN",1
"Palo Verde SW","Round 6","Loyola CC",1
"Polytechnic FD","Round 6","BASIS Chandler BP",1
"Sky View CS","Round 6","Damien AY",0
"BASIS Chandler BP","Round 6","Polytechnic FD",0
"BASIS Chandler KK","Round 6","Logan AC",1
"Coronado RS","Round 6","Los Alamos CP",1
"Hamilton JK","Round 6","Copper Hills LW",0
"Hamilton JR","Round 6","Cupertino AT",0
"Juan Diego MP","Round 6","Kent Denver KK",0
"Logan AC","Round 6","BASIS Chandler KK",0
"Los Alamos CP","Round 6","Coronado RS",0
"Lowell DZ","Round 6","West JL",0
"West JL","Round 6","Lowell DZ",1
"Corona del Sol FZ","Round 6","BYE",0
