"team","round","opponent","win"
"Asian Debate League HH","Round 5","Rowland Hall SB",0
"Asian Debate League CS","Round 5","Lynbrook MC",0
"SVDP HS","Round 5","College Prep NP",0
"Asian Debate Leauge CH","Round 5","Centennial MX",0
"Palo Verde WS","Round 5","Highland JT",1
"Asian Debate League CC","Round 5","Canyon Springs WA",0
"Coronado CR","Round 5","OES LJ",0
"Highland JT","Round 5","Palo Verde WS",0
"Juan Diego PM","Round 5","Salpointe Catholic MT",0
"CK McClatchy BF","Round 6","Brophy SS",1
"CK McClathcy HN","Round 6","Polytechnic WX",1
"Alpharetta KK","Round 6","Damien JR",1
"Bellarmine AP","Round 6","Rowland Hall MB",1
"Brophy SS","Round 6","CK McClatchy BF",0
"Juan Diego AB","Round 6","Leland VV",1
"Rowland Hall LG","Round 6","Juan Diego DM",1
"Skyline HL","Round 6","Lionel Wilson HS",1
"Damien MP","Round 6","Notre Dame FR",1
"Green Valley SA","Round 6","Rowland Hall BL",1
"College Prep DM","Round 6","CK McClatchy LP",1
"Highland GO","Round 6","BASIS Chandler KK",1
"Nevada Union FH","Round 6","Loyola CC",1
"Nevada Union MS","Round 6","Polytechnic MH",1
"Rowland Hall BL","Round 6","Green Valley SA",0
"Rowland Hall MB","Round 6","Bellarmine AP",0
"Sage Ridge KR","Round 6","Harker SJ",0
"Bingham WW","Round 6","West BA",1
"Loyola GT","Round 6","Damien AY",1
"Damien JR","Round 6","Alpharetta KK",0
"Juan Diego DM","Round 6","Rowland Hall LG",0
"Leland DY","Round 6","Harker HW",1
"Leland VV","Round 6","Juan Diego AB",0
"Lionel Wilson HS","Round 6","Skyline HL",0
"Notre Dame FR","Round 6","Damien MP",0
"Bellarmine NP","Round 6","Bingham SS",1
"College Prep HS","Round 6","La Cueva GH",1
"Polytechnic WX","Round 6","C. K. McClatchy HN",0
"Skyline AA","Round 6","Alpharetta CW",1
"St George's MV","Round 6","Harker HK",1
"Harker SJ","Round 6","Sage Ridge KR",1
"Kent Denver MC","Round 6","Juan Diego CS",1
"Santa Margarita CW","Round 6","Notre Dame AM",1
"CK McClatchy LP","Round 6","College Prep DM",0
"Notre Dame AM","Round 6","Santa Margarita CW",0
"Alpharetta CW","Round 6","Skyline AA",0
"La Cueva GH","Round 6","College Prep HS",0
"BASIS Chandler KK","Round 6","Highland GO",0
"Ingraham KT","Round 6","Damien CJ",1
"College Prep WZ","Round 6","Rowland Hall BD",1
"Dougherty Valley FF","Round 6","Asian Debate League CS",0
"Harker HK","Round 6","St George's MV",0
"Harker HS","Round 6","Asian Debate League HH",1
"Juan Diego CS","Round 6","Kent Denver MC",0
"Kent Denver KK","Round 6","Rowland Hall SB",1
"Polytechnic MH","Round 6","Nevada Union MS",0
"West MP","Round 6","Lynbrook MK",1
"Ingraham GW","Round 6","SVDP RP",1
"Bingham SS","Round 6","Bellarmine NP",0
"Green Valley TS","Round 6","Coronado Hs",1
"Hamilton ZF","Round 6","Rowland Hall DS",1
"Harker HW","Round 6","Leland DY",0
"Harker OB","Round 6","Brophy GS",1
"Loyola CC","Round 6","Nevada Union FH",0
"OES LJ","Round 6","Lynbrook MC",1
"Palo Verde RS","Round 6","College Prep NP",1
"West BA","Round 6","Bingham WW",0
"Centennial MX","Round 6","Palo Verde QS",1
"Brophy GS","Round 6","Harker OB",0
"College Prep NP","Round 6","Palo Verde RS",0
"Coronado HS","Round 6","Green Valley TS",0
"Damien AY","Round 6","Loyola GT",0
"Damien CJ","Round 6","Ingraham KT",0
"Lynbrook MC","Round 6","OES LJ",0
"Lynbrook MK","Round 6","West MP",0
"Notre Dame PP","Round 6","Coronado CR",1
"OES MZ","Round 6","Asian Debate League CH",1
"OES WS","Round 6","Palo Verde WS",1
"Palo Verde QS","Round 6","Centennial MX",0
"Polytechnic DL","Round 6","Juan Diego PM",1
"Rowland Hall BD","Round 6","College Prep WZ",0
"Rowland Hall DS","Round 6","Hamilton ZF",0
"SVDP RP","Round 6","Ingraham GW",0
"Canyon Springs WA","Round 6","SVDP HS",1
"Centennial TW","Round 6","Highland JT",1
"Chaminade AT","Round 6","Asian Debate League CC",1
"Salpointe Catholic MT","Round 6","BYE",1
"Asian Debate League HH","Round 6","Harker HS",0
"Asian Debate League CS","Round 6","Dougherty Valley FF",0
"SVDP HS","Round 6","Canyon Springs WA",0
"Asian Debate Leauge CH","Round 6","OES MZ",0
"Palo Verde WS","Round 6","OES WS",0
"Asian Debate League CC","Round 6","Chaminade AT",0
"Coronado CR","Round 6","Notre Dame PP",0
"Highland JT","Round 6","Centennial TW",0
"Juan Diego PM","Round 6","Polytechnic DL",0
