"","aff","aff_speaks","neg","neg_speaks","win"
"475","24758,26539",172,"23314,23367",172,"0"
"476","15703,26683",176,"26608,26609",175,"0"
"477","26482,24596",171,"24775,26589",177,"0"
"478","23357,23355",172,"26499,26501",172,"1"
"479","22783,25211",170,"26595,26596",175,"0"
"480","24851,23061",179,"15568,26559",177,"0"
"481","24500,24498",175,"24606,24604",183,"0"
"482","15686,22959",156,"24677,26511",166,"0"
"483","8149,8150",176,"22709,22710",172,"1"
"484","26443,24548",168,"22803,26551",178,"0"
"485","24777,15688",174,"17115,26525",169,"1"
"486","26604,26603",178,"24506,24507",178,"1"
"487","22802,139",183,"23297,24872",163,"1"
"488","22927,26591",166,"24722,24725",177,"0"
"489","16210,15591",187,"26557,26558",176,"1"
"490","16395,26674",171,"24676,15566",182,"0"
"491","22783,25211",174,"24778,26588",178,"0"
"492","25207,25877",172,"23300,23293",174,"0"
"493","26580,26581",151,"23173,16392",165,"0"
"494","15703,26683",172,"23297,24872",166,"1"
"495","26560,24678",175,"24500,24498",177,"0"
"496","23191,23187",174,"24383,15683",175,"1"
"497","22853,24605",179,"25226,27107",169,"1"
"498","24819,26684",168,"26590,24779",171,"0"
"499","26557,26558",176,"16395,26674",174,"0"
"500","17115,26525",165,"22927,26591",164,"0"
"501","26444,24547",155,"23583,18234",151,"1"
"502","26482,24596",173,"16216,24593",176,"0"
"503","24556,16456",170,"26656,26657",169,"0"
"504","26659,26658",165,"24913,15551",179,"0"
"505","26698,25263",172,"26567,24574",190,"0"
"506","15730,15729",184,"16884,15639",184,"1"
"507","24595,26467",198,"24750,26826",198,"1"
"508","24851,23061",163,"22778,24573",164,"0"
"509","24921,26515",167,"25342,25340",169,"0"
"510","24499,26552",175,"24506,24507",183,"0"
"511","24502,24501",175,"15785,15788",170,"1"
"512","26917,26916",169,"27105,27143",166,"1"
"513","27061,27144",170,"26856,26855",171,"0"
"514","26853,26854",176,"25275,25648",175,"0"
"515","26583,25749",168,"26908,26909",176,"0"
"516","26914,26915",176,"26512,25835",156,"1"
"517","26918,26919",174,"26508,26198",177,"0"
"518","25303,24900",166,"24835,23190",167,"0"
"519","26860,26859",164,"26912,26913",164,"0"
"520","23183,23189",188,"26806,26807",180,"1"
"521","26526,26506",163,"26993,26994",145,"0"
"522","24901,26191",176,"27029,27028",178,"0"
"523","26585,24852",174,"24828,24823",183,"0"
"524","26995,26996",165,"24079,25279",168,"0"
"525","22997,24856",182,"26439,26440",179,"1"
"526","24875,25273",174,"24826,24838",174,"0"
"527","26997,25934",173,"24830,24820",173,"1"
"528","24649,26550",171,"24552,24554",171,"0"
"529","26586,24937",171,"23487,26852",175,"0"
"530","26858,26857",180,"26910,26911",188,"0"
"531","26594,26593",190,"22844,15652",193,"0"
"532","24722,24725",180,"15685,22923",184,"1"
"533","24606,24604",182,"26445,24632",179,"1"
"534","24777,15688",174,"23022,23023",176,"0"
"535","24676,15566",177,"24791,24790",171,"1"
"536","22918,25531",188,"22922,22925",188,"1"
"537","15707,26535",184,"24601,24599",185,"0"
"538","26450,8197",179,"22711,15747",180,"1"
"539","22802,139",185,"24775,26589",178,"1"
"540","15453,24559",180,"22856,24515",175,"1"
"541","22846,15615",191,"22803,26551",180,"1"
"542","16210,15591",183,"26599,26600",170,"1"
"543","22916,22917",188,"15568,26559",177,"1"
"544","22852,18230",176,"26438,15446",182,"0"
"545","23314,23367",166,"14840,23136",169,"1"
"546","26608,26609",174,"15481,16685",175,"0"
"547","15581,24727",183,"24677,26511",168,"1"
"548","24572,15498",182,"23088,23087",187,"0"
"549","15573,15569",188,"26595,26596",174,"1"
"550","26726,24592",183,"26443,24548",176,"1"
"551","23415,24792",170,"15563,8160",173,"1"
"552","8149,8150",182,"24912,26575",180,"1"
"553","16444,16445",174,"24529,24697",185,"0"
"554","15686,22959",178,"23172,9329",186,"0"
"555","24586,26655",180,"26601,26602",160,"1"
"556","22920,22919",180,"15543,22752",175,"1"
"557","14775,10423",168,"22714,15439",174,"0"
