"team","round","opponent","win"
"Juan Diego AB","Round 7","Katy Taylor AL",0
"Katy Taylor BI","Round 7","CK McClatchy HN",0
"Kinkaid RR","Round 7","McDonogh JN",0
"LASA MS","Round 7","Millard North SB",1
"Meadows BN","Round 7","Damien MP",1
"Millard North HK","Round 7","BCC EY",0
"Polytechnic WX","Round 7","GBN BL",0
"BCC ID","Round 7","Brooklyn Tech CQ",0
"Damien MP","Round 7","Meadows BN",0
"Millard North SB","Round 7","LASA MS",0
"Milton FM","Round 7","Denver East RW",0
"Skyline HL","Round 7","Bellarmine PA",0
"UC Lab CR","Round 7","FFT",0
